instant,season_x,yr_x,weekday_x,workingday_x,windspeed_x,casual_x,registered_x,cnt_x,season_y,yr_y,hr,weekday_y,workingday_y,windspeed_y,casual_y,registered_y,cnt_y
1,1,0,6,0,0.160446,331,654,985,1,0,0,6,0,0.0,3,13,16
2,1,0,0,0,0.248539,131,670,801,1,0,1,6,0,0.0,8,32,40
3,1,0,1,1,0.248309,120,1229,1349,1,0,2,6,0,0.0,5,27,32
4,1,0,2,1,0.160296,108,1454,1562,1,0,3,6,0,0.0,3,10,13
5,1,0,3,1,0.1869,82,1518,1600,1,0,4,6,0,0.0,0,1,1
6,1,0,4,1,0.0895652,88,1518,1606,1,0,5,6,0,0.0896,0,1,1
7,1,0,5,1,0.168726,148,1362,1510,1,0,6,6,0,0.0,2,0,2
8,1,0,6,0,0.266804,68,891,959,1,0,7,6,0,0.0,1,2,3
9,1,0,0,0,0.36195,54,768,822,1,0,8,6,0,0.0,1,7,8
10,1,0,1,1,0.223267,41,1280,1321,1,0,9,6,0,0.0,8,6,14
11,1,0,2,1,0.122132,43,1220,1263,1,0,10,6,0,0.2537,12,24,36
12,1,0,3,1,0.304627,25,1137,1162,1,0,11,6,0,0.2836,26,30,56
13,1,0,4,1,0.301,38,1368,1406,1,0,12,6,0,0.2836,29,55,84
14,1,0,5,1,0.126548,54,1367,1421,1,0,13,6,0,0.2985,47,47,94
15,1,0,6,0,0.157963,222,1026,1248,1,0,14,6,0,0.2836,35,71,106
16,1,0,0,0,0.188433,251,953,1204,1,0,15,6,0,0.2985,40,70,110
17,1,0,1,0,0.194017,117,883,1000,1,0,16,6,0,0.2985,41,52,93
18,1,0,2,1,0.146775,9,674,683,1,0,17,6,0,0.2836,15,52,67
19,1,0,3,1,0.208317,78,1572,1650,1,0,18,6,0,0.2537,9,26,35
20,1,0,4,1,0.195904,83,1844,1927,1,0,19,6,0,0.2537,6,31,37
21,1,0,5,1,0.353242,75,1468,1543,1,0,20,6,0,0.2537,11,25,36
22,1,0,6,0,0.17197,93,888,981,1,0,21,6,0,0.194,3,31,34
23,1,0,0,0,0.2466,150,836,986,1,0,22,6,0,0.2239,11,17,28
24,1,0,1,1,0.15833,86,1330,1416,1,0,23,6,0,0.2985,15,24,39
25,1,0,2,1,0.129796,186,1799,1985,1,0,0,0,0,0.2985,4,13,17
26,1,0,3,1,0.29385,34,472,506,1,0,1,0,0,0.2537,1,16,17
27,1,0,4,1,0.113837,15,416,431,1,0,2,0,0,0.2836,1,8,9
28,1,0,5,1,0.1233,38,1129,1167,1,0,3,0,0,0.194,2,4,6
29,1,0,6,0,0.145365,123,975,1098,1,0,4,0,0,0.194,2,1,3
30,1,0,0,0,0.0739826,140,956,1096,1,0,6,0,0,0.2985,0,2,2
31,1,0,1,1,0.187192,42,1459,1501,1,0,7,0,0,0.194,0,1,1
32,1,0,2,1,0.053213,47,1313,1360,1,0,8,0,0,0.2239,0,8,8
33,1,0,3,1,0.264308,72,1454,1526,1,0,9,0,0,0.2239,1,19,20
34,1,0,4,1,0.277752,61,1489,1550,1,0,10,0,0,0.2239,7,46,53
35,1,0,5,1,0.127839,88,1620,1708,1,0,11,0,0,0.2537,16,54,70
36,1,0,6,0,0.161079,100,905,1005,1,0,12,0,0,0.2985,20,73,93
37,1,0,0,0,0.1418,354,1269,1623,1,0,13,0,0,0.1343,11,64,75
38,1,0,1,1,0.0454083,120,1592,1712,1,0,14,0,0,0.194,4,55,59
39,1,0,2,1,0.36195,64,1466,1530,1,0,15,0,0,0.1642,19,55,74
40,1,0,3,1,0.188839,53,1552,1605,1,0,16,0,0,0.1642,9,67,76
41,1,0,4,1,0.221935,47,1491,1538,1,0,17,0,0,0.194,7,58,65
42,1,0,5,1,0.10855,149,1597,1746,1,0,18,0,0,0.3284,10,43,53
43,1,0,6,0,0.203367,288,1184,1472,1,0,19,0,0,0.4478,1,29,30
44,1,0,0,0,0.260883,397,1192,1589,1,0,20,0,0,0.3582,5,17,22
45,1,0,1,1,0.417908,208,1705,1913,1,0,21,0,0,0.3284,11,20,31
46,1,0,2,1,0.291374,140,1675,1815,1,0,22,0,0,0.2985,0,9,9
47,1,0,3,1,0.251791,218,1897,2115,1,0,23,0,0,0.1642,0,8,8
48,1,0,4,1,0.230104,259,2216,2475,1,0,0,1,1,0.3582,0,5,5
49,1,0,5,1,0.264925,579,2348,2927,1,0,1,1,1,0.4179,0,2,2
50,1,0,6,0,0.507463,532,1103,1635,1,0,4,1,1,0.3881,0,1,1
51,1,0,0,0,0.223235,639,1173,1812,1,0,5,1,1,0.2836,0,3,3
52,1,0,1,0,0.307846,195,912,1107,1,0,6,1,1,0.3881,0,30,30
53,1,0,2,1,0.195683,74,1376,1450,1,0,7,1,1,0.194,1,63,64
54,1,0,3,1,0.094113,139,1778,1917,1,0,8,1,1,0.2836,1,153,154
55,1,0,4,1,0.250496,100,1707,1807,1,0,9,1,1,0.3881,7,81,88
56,1,0,5,1,0.346539,120,1341,1461,1,0,10,1,1,0.2537,11,33,44
57,1,0,6,0,0.186571,424,1545,1969,1,0,11,1,1,0.3284,10,41,51
58,1,0,0,0,0.125248,694,1708,2402,1,0,12,1,1,0.2985,13,48,61
59,1,0,1,1,0.289686,81,1365,1446,1,0,13,1,1,0.2836,8,53,61
60,1,0,2,1,0.216425,137,1714,1851,1,0,14,1,1,0.2836,11,66,77
61,1,0,3,1,0.307833,231,1903,2134,1,0,15,1,1,0.2537,14,58,72
62,1,0,4,1,0.225754,123,1562,1685,1,0,16,1,1,0.2537,9,67,76
63,1,0,5,1,0.203346,214,1730,1944,1,0,17,1,1,0.2239,11,146,157
64,1,0,6,0,0.251871,640,1437,2077,1,0,18,1,1,0.1045,9,148,157
65,1,0,0,0,0.343287,114,491,605,1,0,19,1,1,0.0,8,102,110
66,1,0,1,1,0.341352,244,1628,1872,1,0,20,1,1,0.1045,3,49,52
67,1,0,2,1,0.12065,316,1817,2133,1,0,21,1,1,0.1343,3,49,52
68,1,0,3,1,0.22015,191,1700,1891,1,0,22,1,1,0.1343,0,20,20
